SUCEPTIBLE,EXPOSED,RECOVERED,INFECTED
995,4,1,0
996,4,0,0
996,4,0,0
995,4,0,1
994,5,0,1
994,5,1,0
994,5,1,0
992,6,1,1
991,7,2,0
992,7,1,0
992,6,1,1
990,8,1,1
989,9,1,1
987,11,1,1
988,11,0,1
987,10,0,3
982,13,1,4
979,13,2,6
976,16,4,4
975,16,5,4
971,19,6,4
971,17,5,7
970,19,6,5
966,23,6,5
962,27,6,5
962,29,7,2
961,28,5,6
953,32,6,9
949,33,10,8
944,36,10,10
936,39,12,13
932,42,15,11
928,43,16,13
921,47,21,11
923,49,18,10
920,54,18,8
916,51,16,17
906,60,17,17
901,61,21,17
894,62,24,20
889,64,25,22
882,72,24,22
872,82,27,19
867,86,31,16
865,89,26,20
867,85,26,22
865,77,23,35
857,81,27,35
846,89,30,35
839,95,36,30
834,93,43,30
832,94,45,29
835,92,41,32
838,91,43,28
841,89,44,26
838,89,38,35
828,93,40,39
824,99,33,44
809,110,37,44
800,106,47,47
793,104,51,52
788,100,62,50
790,97,71,42
793,99,72,36
791,104,75,30
805,101,69,25
807,97,70,26
806,99,62,33
808,105,57,30
801,113,57,29
794,118,60,28
794,113,62,31
798,114,54,34
791,117,50,42
790,117,52,41
794,118,57,31
792,121,51,36
786,122,56,36
783,129,52,36
779,124,50,47
768,130,53,49
757,137,55,51
755,135,50,60
745,139,57,59
739,149,59,53
737,153,57,53
734,161,58,47
729,164,67,40
728,163,65,44
726,164,67,43
731,162,66,41
730,155,67,48
722,159,69,50
720,162,65,53
720,160,71,49
716,166,77,41
710,167,80,43
711,169,76,44
700,176,76,48
699,168,76,57
690,177,81,52
693,182,62,63
694,188,68,50
682,197,65,56
677,203,74,46
663,205,83,49
656,204,86,54
658,206,90,46
657,207,83,53
666,192,87,55
670,193,75,62
655,197,93,55
663,195,86,56
647,198,87,68
624,207,90,79
615,210,93,82
602,224,98,76
594,231,99,76
596,222,101,81
582,227,112,79
585,228,109,78
576,237,110,77
568,229,111,92
573,232,109,86
560,241,115,84
563,231,113,93
555,247,126,72
558,255,114,73
553,260,110,77
545,266,114,75
534,262,107,97
537,259,110,94
526,264,114,96
511,277,125,87
515,265,122,98
500,279,123,98
500,271,128,101
497,270,124,109
494,279,130,97
482,282,129,107
470,299,128,103
474,304,125,97
474,303,127,96
473,291,127,109
454,313,128,105
444,319,136,101
449,313,132,106
424,325,146,105
431,315,147,107
423,321,159,97
425,318,160,97
418,325,154,103
412,328,158,102
403,327,157,113
409,326,162,103
409,324,160,107
416,319,150,115
391,328,161,120
398,324,157,121
386,337,163,114
393,352,155,100
396,343,161,100
402,345,157,96
383,355,154,108
376,363,140,121
377,360,140,123
366,354,156,124
348,363,169,120
347,359,174,120
339,346,190,125
331,356,203,110
327,360,198,115
338,361,180,121
332,367,184,117
339,348,181,132
321,369,186,124
313,369,208,110
333,359,180,128
330,365,174,131
321,379,181,119
330,360,187,123
325,368,191,116
334,344,194,128
324,359,194,123
328,363,187,122
324,358,194,124
330,361,183,126
327,362,180,131
310,367,193,130
295,374,204,127
312,367,198,123
313,371,204,112
329,375,195,101
329,383,184,104
335,384,189,92
341,368,195,96
347,383,177,93
352,368,166,114
345,368,175,112
341,368,182,109
340,359,175,126
327,358,176,139
318,365,188,129
302,377,196,125
307,385,193,115
305,386,175,134
283,407,176,134
272,397,189,142
262,400,204,134
267,404,201,128
270,397,205,128
265,392,214,129
268,386,209,137
263,385,221,131
269,384,211,136
265,386,205,144
261,385,204,150
251,383,211,155
261,378,220,141
252,391,225,132
264,388,238,110
286,367,223,124
298,370,221,111
304,371,206,119
307,362,204,127
309,383,194,114
319,372,197,112
320,367,191,122
315,375,183,127
303,377,186,134
300,378,186,136
283,379,199,139
280,371,204,145
291,378,202,129
302,379,202,117
304,385,198,113
316,377,191,116
316,380,180,124
312,390,169,129
297,384,177,142
291,395,171,143
280,393,172,155
300,385,174,141
287,396,195,122
297,387,184,132
294,378,197,131
293,380,191,136
297,372,200,131
301,377,198,124
307,364,193,136
305,365,206,124
300,367,198,135
301,381,199,119
300,372,194,134
303,371,183,143
281,384,198,137
273,382,201,144
276,394,210,120
290,389,206,115
