SUCEPTIBLE,EXPOSED,RECOVERED,INFECTED
997,2,1,0
998,2,0,0
998,2,0,0
996,3,0,1
995,4,0,1
995,4,1,0
995,3,1,1
992,5,1,2
989,8,2,1
986,11,2,1
983,13,2,2
979,15,2,4
970,23,3,4
966,26,4,4
970,26,1,3
968,25,3,4
962,29,3,6
960,30,5,5
959,29,7,5
958,28,9,5
955,30,11,4
954,29,9,8
949,34,9,8
948,36,9,7
946,36,11,7
938,41,15,6
936,45,14,5
930,49,15,6
929,48,14,9
921,52,11,16
917,55,11,17
907,58,13,22
903,57,16,24
901,58,23,18
900,58,21,21
901,59,22,18
889,63,24,24
889,62,29,20
889,57,28,26
879,59,37,25
872,65,41,22
873,68,32,27
873,70,32,25
868,70,40,22
863,75,41,21
871,77,36,16
872,81,31,16
862,91,24,23
848,102,23,27
839,101,31,29
824,105,36,35
824,99,42,35
818,103,47,32
818,99,50,33
814,107,53,26
815,104,48,33
808,112,53,27
811,114,49,26
810,117,49,24
800,118,48,34
804,118,47,31
797,126,54,23
799,131,47,23
794,129,45,32
786,133,48,33
777,133,52,38
778,127,56,39
770,123,58,49
763,129,60,48
758,134,66,42
757,140,63,40
747,142,65,46
740,146,65,49
739,153,66,42
734,157,68,41
730,154,67,49
724,153,65,58
718,154,72,56
721,154,70,55
720,149,72,59
712,157,69,62
706,156,75,63
702,161,78,59
697,167,84,52
695,170,83,52
694,178,87,41
696,173,82,49
696,173,83,48
695,175,82,48
684,177,82,57
676,187,80,57
679,183,81,57
677,178,83,62
674,180,81,65
676,183,78,63
669,184,84,63
670,186,92,52
674,183,93,50
681,182,87,50
675,186,84,55
670,187,88,55
668,188,84,60
655,187,85,73
653,192,80,75
651,192,86,71
649,187,95,69
649,190,91,70
653,194,91,62
662,185,94,59
661,180,92,67
659,177,98,66
658,178,93,71
652,187,94,67
645,194,94,67
634,199,98,69
634,198,101,67
634,197,99,70
636,205,95,64
642,200,89,69
639,210,89,62
634,216,81,69
630,222,83,65
624,218,87,71
606,217,95,82
595,224,101,80
604,226,97,73
593,234,102,71
585,232,107,76
585,233,120,62
585,233,120,62
600,233,106,61
602,230,96,72
593,230,108,69
587,230,103,80
570,247,107,76
556,249,118,77
553,239,124,84
544,248,121,87
534,250,131,85
534,243,132,91
532,260,124,84
537,265,128,70
528,278,122,72
519,279,121,81
518,273,120,89
503,288,118,91
492,295,129,84
500,291,118,91
507,282,128,83
500,289,122,89
503,287,124,86
496,283,127,94
492,296,120,92
471,320,123,86
466,322,121,91
456,329,118,97
445,330,129,96
436,343,125,96
431,348,128,93
420,348,128,104
424,341,130,105
416,348,130,106
396,364,145,95
386,361,150,103
379,354,152,115
372,349,168,111
379,342,164,115
386,328,173,113
401,324,162,113
410,319,152,119
415,323,152,110
422,319,159,100
416,323,156,105
410,329,154,107
392,344,152,112
389,338,160,113
380,343,180,97
383,350,169,98
381,342,168,109
359,356,169,116
355,363,175,107
348,370,165,117
354,366,151,129
366,351,155,128
351,354,166,129
342,364,167,127
337,360,174,129
327,355,180,138
323,345,187,145
333,348,185,134
332,350,196,122
337,351,184,128
341,367,175,117
342,360,163,135
330,377,162,131
324,384,156,136
316,382,162,140
306,377,186,131
310,383,191,116
308,368,189,135
314,364,190,132
304,362,188,146
306,364,184,146
304,368,194,134
300,366,199,135
286,377,208,129
280,376,212,132
291,372,213,124
307,375,197,121
294,376,209,121
308,374,195,123
311,364,194,131
317,376,186,121
321,380,172,127
323,375,177,125
311,383,182,124
306,396,176,122
275,415,183,127
274,419,182,125
272,409,180,139
273,401,187,139
270,389,192,149
276,388,203,133
273,382,209,136
258,399,219,124
265,402,205,128
275,404,211,110
282,391,196,131
281,379,197,143
275,386,203,136
268,394,207,131
278,403,193,126
287,401,195,117
276,404,199,121
281,409,189,121
279,419,177,125
269,411,191,129
281,400,174,145
258,415,191,136
265,416,187,132
250,418,194,138
257,409,203,131
266,415,185,134
269,398,181,152
277,393,182,148
272,390,197,141
275,385,201,139
279,391,197,133
288,396,193,123
297,383,186,134
302,384,189,125
303,384,187,126
281,392,198,129
295,385,204,116
304,388,188,120
299,387,195,119
312,373,190,125
302,368,199,131
309,364,189,138
300,375,177,148
304,389,175,132
293,384,182,141
288,385,190,137
274,396,193,137
279,392,192,137
300,388,188,124
297,391,191,121
292,389,190,129
300,377,187,136
308,369,190,133
302,366,190,142
291,377,201,131
294,377,206,123
284,384,211,121
277,383,215,125
287,395,194,124
279,399,190,132
267,406,187,140
271,403,185,141
261,402,197,140
262,395,204,139
257,390,216,137
280,385,202,133
280,390,205,125
270,393,203,134
281,374,213,132
295,384,191,130
294,387,187,132
279,401,182,138
260,416,189,135
255,408,195,142
260,423,193,124
266,416,195,123
258,413,193,136
259,419,185,137
255,411,197,137
271,415,185,129
267,414,179,140
264,411,189,136
273,416,175,136
267,421,182,130
284,395,168,153
277,392,178,153
271,402,182,145
271,400,189,140
259,416,186,139
246,422,186,146
255,424,184,137
250,415,192,143
255,414,192,139
256,408,208,128
269,404,200,127
264,404,204,128
264,400,192,144
254,388,205,153
246,396,216,142
252,396,218,134
271,387,215,127
292,378,203,127
279,381,200,140
282,381,209,128
284,387,202,127
287,391,200,122
302,386,190,122
292,400,191,117
280,398,192,130
285,390,191,134
285,389,191,135
287,391,192,130
281,398,190,131
274,402,202,122
265,401,212,122
265,382,208,145
257,385,220,138
262,378,226,134
276,374,218,132
265,394,225,116
275,389,202,134
292,373,202,133
304,363,193,140
297,376,195,132
288,389,188,135
291,397,186,126
288,390,191,131
277,400,191,132
278,389,203,130
276,369,209,146
291,376,184,149
280,390,186,144
282,398,181,139
283,398,193,126
281,400,193,126
285,400,185,130
276,412,188,124
268,406,203,123
283,387,207,123
288,384,194,134
285,393,198,124
279,403,197,121
287,396,195,122
284,403,193,120
281,410,186,123
290,414,169,127
288,412,176,124
281,408,184,127
281,411,176,132
274,410,177,139
276,408,177,139
271,407,187,135
282,402,187,129
274,409,178,139
273,407,184,136
292,393,187,128
301,383,179,137
299,390,191,120
314,375,187,124
312,377,186,125
323,377,181,119
320,371,178,131
311,366,184,139
305,366,191,138
322,363,194,121
307,378,197,118
303,389,181,127
303,390,181,126
288,397,186,129
288,388,186,138
276,391,195,138
287,383,191,139
286,386,192,136
281,383,182,154
268,387,191,154
255,393,202,150
245,406,210,139
256,402,208,134
261,412,198,129
282,408,186,124
272,410,186,132
262,401,199,138
258,398,206,138
253,405,204,138
247,411,210,132
257,414,196,133
259,419,196,126
258,415,195,132
254,416,212,118
258,409,207,126
261,399,201,139
275,391,186,148
277,390,194,139
280,397,203,120
285,392,184,139
287,392,182,139
283,382,205,130
280,384,210,126
279,386,214,121
293,390,196,121
286,397,196,121
299,387,197,117
305,394,188,113
301,389,193,117
300,386,198,116
296,387,204,113
314,380,203,103
322,382,181,115
321,378,188,113
320,379,181,120
318,391,177,114
301,387,178,134
296,398,174,132
292,387,183,138
295,383,200,122
306,373,194,127
293,372,198,137
305,361,195,139
305,366,199,130
303,369,212,116
320,359,205,116
333,355,195,117
338,358,187,117
336,362,191,111
333,356,190,121
337,356,177,130
331,368,163,138
319,370,171,140
302,375,183,140
291,378,193,138
285,386,193,136
272,392,189,147
272,400,196,132
274,399,190,137
259,415,197,129
271,399,200,130
279,404,206,111
291,389,191,129
299,394,184,123
299,404,176,121
298,403,179,120
280,404,190,126
288,392,188,132
291,387,195,127
292,379,207,122
285,391,200,124
293,394,195,118
298,386,195,121
300,385,195,120
308,378,190,124
305,389,192,114
297,390,185,128
290,386,181,143
290,388,185,137
286,387,185,142
290,384,186,140
293,386,191,130
297,388,189,126
300,388,181,131
305,390,182,123
293,397,176,134
285,386,175,154
266,402,194,138
272,387,204,137
277,385,202,136
288,394,192,126
285,399,177,139
268,411,185,136
269,413,181,137
269,399,194,138
281,392,193,134
277,405,203,115
279,396,198,127
282,394,206,118
273,390,213,124
272,386,215,127
269,392,221,118
287,380,215,118
295,382,213,110
306,369,205,120
308,373,204,115
308,380,200,112
291,391,197,121
291,389,187,133
281,408,190,121
268,413,194,125
276,416,191,117
274,409,197,120
268,415,199,118
275,402,201,122
286,399,192,123
275,396,198,131
257,400,207,136
255,388,219,138
277,385,210,128
261,389,214,136
261,396,207,136
271,396,198,135
272,389,209,130
269,399,207,125
270,396,211,123
280,387,192,141
282,382,184,152
288,363,187,162
276,367,201,156
284,370,220,126
290,375,219,116
300,379,194,127
288,388,193,131
285,388,192,135
275,390,201,134
278,397,200,125
293,391,192,124
290,393,202,115
310,380,196,114
302,386,198,114
307,384,182,127
303,372,198,127
283,394,193,130
281,399,186,134
283,407,187,123
278,409,179,134
289,420,171,120
292,421,164,123
287,411,175,127
286,411,174,129
277,409,191,123
287,398,196,119
291,388,194,127
309,391,185,115
301,382,181,136
301,380,180,139
296,378,189,137
289,386,193,132
289,388,192,131
305,389,193,113
306,393,201,100
318,381,187,114
314,389,185,112
307,392,187,114
312,405,183,100
313,389,177,121
296,389,178,137
301,383,179,137
278,395,193,134
276,386,194,144
283,389,187,141
268,396,206,130
270,384,216,130
282,380,213,125
297,359,208,136
303,368,200,129
306,378,196,120
301,385,191,123
307,374,196,123
295,389,192,124
302,390,175,133
307,373,177,143
304,386,173,137
287,392,191,130
286,388,197,129
287,395,194,124
288,389,192,131
292,389,191,128
283,388,194,135
273,386,208,133
277,389,214,120
292,374,199,135
296,372,203,129
289,381,195,135
282,388,194,136
279,387,207,127
285,384,206,125
297,383,182,138
295,391,179,135
302,393,173,132
287,401,192,120
281,407,192,120
291,404,187,118
293,402,198,107
283,408,203,106
293,398,193,116
294,392,192,122
281,404,199,116
276,389,209,126
284,406,199,111
284,398,208,110
285,395,211,109
305,392,194,109
301,392,196,111
328,372,186,114
329,364,183,124
328,364,185,123
321,365,194,120
313,375,188,124
301,376,202,121
309,381,180,130
315,380,188,117
319,381,176,124
306,390,171,133
306,385,168,141
282,409,182,127
280,405,193,122
269,420,193,118
265,422,192,121
277,406,192,125
275,393,186,146
264,403,200,133
267,404,196,133
280,390,196,134
272,398,198,132
265,400,190,145
250,404,207,139
260,389,215,136
276,377,205,142
272,382,216,130
279,379,213,129
266,388,212,134
275,378,206,141
286,378,200,136
293,382,202,123
305,377,191,127
299,386,189,126
307,383,186,124
293,393,186,128
283,382,193,142
280,393,197,130
278,396,196,130
283,393,189,135
267,390,183,160
258,402,203,137
275,385,204,136
274,383,208,135
277,393,198,132
283,392,194,131
279,399,198,124
282,396,212,110
278,396,216,110
285,401,201,113
298,394,188,120
292,395,186,127
301,397,179,123
299,389,194,118
306,384,181,129
311,385,185,119
304,386,189,121
321,389,172,118
301,410,170,119
291,416,170,123
290,424,166,120
291,404,174,131
292,390,179,139
285,393,184,138
286,396,180,138
277,393,186,144
281,384,212,123
291,387,196,126
281,391,203,125
276,401,202,121
285,387,192,136
267,394,204,135
269,400,198,133
269,399,205,127
281,389,202,128
283,392,203,122
299,384,201,116
312,376,191,121
301,388,191,120
311,385,188,116
310,384,174,132
308,396,168,128
310,389,169,132
307,399,161,133
292,407,174,127
294,392,187,127
293,397,183,127
291,390,183,136
295,380,182,143
301,373,186,140
314,376,169,141
303,383,185,129
306,389,180,125
306,384,178,132
297,386,187,130
288,400,188,124
278,393,204,125
285,405,198,112
313,392,185,110
307,392,190,111
315,383,183,119
316,377,183,124
315,385,187,113
310,375,190,125
314,367,197,122
320,363,201,116
331,358,211,100
332,355,195,118
331,360,186,123
339,361,177,123
337,379,170,114
337,373,168,122
327,392,169,112
312,391,171,126
317,383,169,131
316,391,169,124
316,392,173,119
318,387,178,117
313,374,181,132
305,383,185,127
307,383,178,132
294,397,168,141
276,397,181,146
264,410,202,124
275,398,220,107
289,396,188,127
273,408,189,130
287,399,175,139
289,391,173,147
278,396,187,139
290,391,181,138
283,384,200,133
301,374,200,125
314,377,197,112
319,383,179,119
304,385,195,116
314,383,185,118
309,378,187,126
304,374,190,132
306,384,179,131
313,379,181,127
321,367,174,138
321,364,178,137
307,374,183,136
285,393,192,130
275,402,171,152
257,421,187,135
252,419,187,142
252,420,183,145
249,414,199,138
261,408,196,135
248,414,193,145
257,392,198,153
252,392,193,163
251,397,198,154
264,379,187,170
256,392,198,154
264,389,184,163
258,391,189,162
255,395,203,147
245,389,211,155
245,396,222,137
251,396,228,125
273,389,221,117
283,376,222,119
290,371,224,115
288,368,229,115
295,363,213,129
280,377,214,129
282,380,215,123
285,377,206,132
280,382,210,128
296,375,201,128
290,380,195,135
288,391,198,123
283,400,202,115
286,401,189,124
292,384,186,138
290,385,177,148
274,393,195,138
263,395,203,139
259,397,214,130
270,392,209,129
280,391,194,135
284,381,202,133
299,371,193,137
301,364,199,136
286,374,202,138
291,370,207,132
296,370,208,126
282,381,212,125
289,377,202,132
286,370,215,129
286,386,200,128
284,392,198,126
295,391,186,128
294,385,182,139
287,384,181,148
287,387,181,145
281,386,179,154
271,401,184,144
275,403,191,131
272,402,184,142
270,404,193,133
284,398,185,133
289,401,193,117
285,399,196,120
273,408,204,115
277,398,199,126
274,394,192,140
277,407,191,125
283,403,190,124
292,397,193,118
287,406,193,114
287,391,194,128
289,395,190,126
284,398,187,131
276,404,192,128
283,402,190,125
287,413,172,128
280,408,168,144
269,408,174,149
273,399,180,148
277,405,189,129
268,411,187,134
265,400,189,146
261,412,185,142
259,406,177,158
256,407,193,144
253,399,192,156
258,412,191,139
238,415,206,141
261,403,196,140
264,411,184,141
261,416,185,138
263,414,186,137
255,410,200,135
265,396,203,136
272,389,203,136
284,389,195,132
282,394,200,124
275,396,208,121
288,388,196,128
287,394,197,122
298,383,193,126
286,394,209,111
284,396,205,115
276,402,200,122
266,407,208,119
268,401,205,126
269,400,217,114
277,394,212,117
283,384,206,127
288,376,202,134
291,371,207,131
293,371,192,144
284,383,203,130
272,399,195,134
268,408,189,135
273,408,193,126
263,414,201,122
254,417,216,113
267,414,215,104
285,405,202,108
300,402,187,111
312,388,170,130
304,401,169,126
302,398,167,133
298,403,162,137
275,410,175,140
281,406,177,136
281,406,181,132
279,398,193,130
287,390,187,136
276,390,200,134
277,394,199,130
292,389,194,125
279,397,197,127
286,391,197,126
282,404,192,122
290,399,186,125
279,401,185,135
288,397,184,131
275,399,185,141
276,389,192,143
281,390,190,139
285,386,199,130
274,401,189,136
275,396,192,137
268,413,188,131
258,410,192,140
275,391,180,154
269,391,200,140
264,398,202,136
269,398,206,127
272,401,200,127
281,394,194,131
282,391,197,130
282,392,200,126
285,380,196,139
282,385,202,131
285,397,198,120
293,384,195,128
286,393,183,138
289,392,175,144
269,412,180,139
259,412,193,136
265,406,192,137
260,403,204,133
262,406,201,131
262,395,209,134
267,393,213,127
265,398,210,127
271,397,204,128
274,399,192,135
281,396,189,134
272,408,197,123
279,399,189,133
270,393,200,137
287,398,195,120
281,397,199,123
286,389,190,135
282,396,187,135
278,401,182,139
269,407,187,137
265,405,185,145
261,394,200,145
252,401,211,136
245,391,221,143
264,367,221,148
254,378,228,140
266,382,225,127
252,392,236,120
257,392,231,120
271,384,227,118
284,384,216,116
282,391,204,123
289,395,192,124
290,402,184,124
286,400,198,116
288,379,209,124
289,382,208,121
285,383,198,134
286,378,213,123
302,368,209,121
310,379,194,117
322,387,181,110
317,382,176,125
314,379,178,129
305,382,186,127
315,387,178,120
309,395,185,111
308,387,189,116
293,390,201,116
304,375,191,130
296,373,198,133
297,379,190,134
294,388,194,124
298,392,187,123
286,405,184,125
288,406,182,124
290,396,190,124
297,402,176,125
285,410,187,118
294,399,192,115
296,403,180,121
302,396,186,116
316,377,188,119
312,379,190,119
302,373,193,132
296,383,197,124
291,397,181,131
280,406,172,142
275,407,171,147
270,406,187,137
269,395,193,143
263,411,191,135
270,405,198,127
283,395,200,122
282,396,192,130
289,385,192,134
294,394,190,122
294,389,201,116
293,384,197,126
284,381,190,145
