SUCEPTIBLE,EXPOSED,RECOVERED,INFECTED
997,2,1,0
998,2,0,0
998,2,0,0
996,3,0,1
995,4,0,1
995,4,1,0
995,3,1,1
993,4,1,2
989,7,2,2
986,10,2,2
984,12,3,1
985,12,2,1
984,12,2,2
980,16,1,3
978,19,0,3
975,20,2,3
969,24,3,4
966,23,5,6
964,25,8,3
963,26,6,5
962,26,6,6
963,25,5,7
959,28,5,8
954,32,5,9
945,38,8,9
936,45,13,6
931,47,13,9
925,47,15,13
917,50,16,17
914,51,16,19
910,52,16,22
906,51,19,24
903,55,18,24
901,56,26,17
899,57,31,13
902,56,28,14
900,49,27,24
895,49,34,22
891,52,37,20
892,52,40,16
891,55,41,13
886,56,42,16
886,58,39,17
885,60,40,15
878,67,38,17
870,78,36,16
872,79,31,18
868,84,30,18
863,87,25,25
851,94,29,26
845,95,33,27
828,104,32,36
813,113,35,39
802,121,41,36
806,116,45,33
805,114,48,33
808,115,49,28
809,114,43,34
807,119,44,30
806,117,44,33
796,121,47,36
788,121,47,44
776,134,49,41
768,137,52,43
770,136,39,55
758,141,49,52
756,140,54,50
747,145,63,45
736,155,69,40
724,160,74,42
722,163,66,49
716,165,71,48
717,163,68,52
711,166,70,53
702,173,75,50
696,178,74,52
696,168,81,55
688,177,79,56
684,180,80,56
681,181,87,51
682,184,90,44
693,179,79,49
680,180,88,52
689,177,78,56
679,185,92,44
684,186,89,41
687,185,81,47
688,191,74,47
684,198,72,46
687,197,66,50
681,191,69,59
677,198,64,61
668,209,67,56
662,205,64,69
651,209,74,66
644,209,85,62
650,204,84,62
655,196,84,65
651,205,80,64
646,206,88,60
654,205,89,52
645,194,88,73
635,199,96,70
619,205,103,73
600,208,110,82
598,203,110,89
599,210,109,82
594,219,112,75
590,219,114,77
578,233,118,71
577,232,115,76
576,230,117,77
578,236,118,68
588,232,111,69
584,231,104,81
571,246,109,74
563,253,114,70
560,259,111,70
555,256,107,82
540,259,113,88
523,268,114,95
509,273,127,91
484,280,135,101
487,277,138,98
472,288,141,99
479,292,130,99
476,295,130,99
471,296,127,106
471,289,130,110
451,298,147,104
448,293,151,108
451,299,149,101
436,295,156,113
424,306,167,103
424,315,166,95
419,324,168,89
410,320,168,102
409,323,162,106
413,314,163,110
412,315,162,111
411,331,158,100
388,335,174,103
396,331,175,98
401,324,163,112
390,328,169,113
386,331,170,113
391,333,176,100
411,330,157,102
412,328,152,108
390,347,163,100
394,359,145,102
383,346,151,120
384,348,148,120
365,350,155,130
364,339,154,143
365,355,163,117
390,351,152,107
385,344,157,114
375,336,163,126
361,351,173,115
364,347,174,115
351,352,185,112
340,352,182,126
339,363,184,114
351,358,176,115
351,348,165,136
337,359,171,133
331,362,179,128
336,351,178,135
325,363,180,132
323,371,185,121
321,378,188,113
329,378,173,120
322,383,179,116
315,384,182,119
318,378,174,130
313,380,183,124
296,385,195,124
311,382,190,117
315,371,183,131
307,372,200,121
324,377,185,114
315,388,187,110
327,387,180,106
342,378,168,112
354,366,183,97
368,363,170,99
363,364,169,104
359,374,169,98
356,375,155,114
346,388,158,108
337,396,156,111
327,395,162,116
315,407,157,121
297,405,169,129
297,399,184,120
304,389,176,131
295,385,180,140
302,375,188,135
303,379,194,124
294,377,188,141
294,373,183,150
273,383,198,146
278,395,193,134
283,386,193,138
275,393,197,135
278,391,194,137
281,388,201,130
298,373,208,121
299,391,191,119
303,388,181,128
293,388,187,132
287,394,191,128
279,399,190,132
273,410,184,133
262,398,199,141
252,396,204,148
265,399,200,136
261,414,181,144
249,413,197,141
249,417,196,138
239,412,209,140
238,399,205,158
244,386,219,151
252,376,210,162
259,375,202,164
258,379,210,153
257,387,220,136
264,388,226,122
273,379,219,129
263,392,218,127
264,402,202,132
271,401,195,133
265,408,191,136
265,405,194,136
264,408,196,132
254,404,201,141
249,409,193,149
255,407,199,139
264,389,206,141
281,386,191,142
267,392,209,132
249,397,212,142
254,396,216,134
265,386,213,136
291,371,212,126
293,376,205,126
308,367,199,126
300,372,203,125
297,361,209,133
288,381,209,122
300,378,200,122
284,394,195,127
292,381,196,131
266,394,200,140
265,392,215,128
263,398,215,124
265,391,207,137
267,397,208,128
277,388,207,128
257,404,198,141
267,401,184,148
263,396,200,141
272,387,205,136
269,385,208,138
269,394,198,139
272,397,197,134
274,399,192,135
272,405,184,139
272,398,174,156
266,402,186,146
261,405,206,128
262,407,205,126
256,407,197,140
251,401,206,142
251,407,204,138
251,405,212,132
257,401,216,126
252,410,206,132
254,406,212,128
266,392,200,142
272,389,202,137
254,404,196,146
245,392,196,167
245,394,194,167
234,401,211,154
249,390,214,147
264,401,199,136
264,407,195,134
256,403,209,132
263,397,204,136
271,390,203,136
267,384,211,138
284,388,188,140
282,397,198,123
289,385,194,132
294,388,192,126
289,383,194,134
290,369,204,137
301,371,200,128
301,374,198,127
295,374,207,124
277,377,214,132
286,376,202,136
285,391,189,135
272,397,185,146
261,404,201,134
263,395,210,132
283,384,202,131
289,384,221,106
297,387,205,111
298,390,200,112
309,380,189,122
303,380,190,127
297,384,191,128
294,377,185,144
287,389,185,139
285,377,187,151
263,387,201,149
249,379,221,151
242,383,236,139
243,376,244,137
259,374,231,136
265,370,238,127
283,367,219,131
287,364,204,145
295,370,205,130
294,360,218,128
301,353,212,134
295,373,204,128
295,370,202,133
301,364,207,128
295,368,210,127
297,375,200,128
299,367,206,128
308,366,196,130
312,377,195,116
307,394,197,102
305,386,185,124
286,401,187,126
275,405,184,136
272,404,197,127
274,396,200,130
252,411,192,145
256,415,193,136
254,417,191,138
257,411,192,140
257,417,208,118
265,407,199,129
267,403,203,127
267,402,195,136
255,419,200,126
253,418,197,132
254,409,203,134
265,403,197,135
245,414,203,138
259,406,207,128
251,399,204,146
263,390,200,147
248,392,213,147
254,393,221,132
264,384,214,138
274,387,216,123
286,379,225,110
286,375,206,133
277,380,215,128
277,375,219,129
289,377,203,131
295,382,201,122
294,383,194,129
287,380,202,131
285,382,208,125
284,381,201,134
290,375,214,121
299,374,212,115
290,371,219,120
294,378,211,117
299,381,211,109
301,379,205,115
306,384,190,120
298,388,206,108
311,390,193,106
321,389,189,101
323,376,187,114
331,377,188,104
331,369,182,118
321,372,187,120
329,366,175,130
310,385,178,127
290,391,184,135
289,384,189,138
288,384,177,151
272,403,197,128
274,405,193,128
260,409,205,126
266,396,197,141
259,402,201,138
253,397,201,149
255,400,190,155
240,416,201,143
247,423,202,128
249,411,206,134
255,401,194,150
247,411,205,137
250,404,209,137
245,411,217,127
251,403,215,131
253,402,212,133
245,398,212,145
255,391,217,137
273,386,203,138
266,401,198,135
263,402,194,141
260,394,205,141
262,399,204,135
263,400,209,128
273,384,208,135
268,387,222,123
274,377,224,125
267,372,218,143
258,385,226,131
266,391,215,128
279,386,212,123
268,400,211,121
263,405,208,124
260,412,196,132
259,416,196,129
265,393,201,141
279,385,193,143
267,392,192,149
256,396,202,146
264,393,196,147
261,387,212,140
256,388,203,153
262,393,202,143
263,396,188,153
262,398,187,153
253,385,203,159
246,395,203,156
242,414,200,144
247,416,198,139
256,407,199,138
262,404,199,135
257,407,194,142
240,405,216,139
237,405,210,148
240,399,214,147
246,393,221,140
260,396,202,142
260,399,211,130
267,383,218,132
261,375,226,138
257,384,223,136
277,381,214,128
290,371,204,135
310,370,196,124
300,390,191,119
294,394,194,118
299,389,187,125
296,401,178,125
290,397,172,141
271,394,183,152
268,389,195,148
262,402,192,144
254,407,208,131
256,406,214,124
271,402,209,118
284,403,190,123
298,394,188,120
296,391,185,128
277,403,177,143
258,399,189,154
236,407,199,158
236,399,210,155
239,404,229,128
246,401,220,133
248,403,218,131
250,399,218,133
251,391,224,134
254,387,210,149
256,391,208,145
259,392,204,145
259,401,205,135
248,417,209,126
254,406,204,136
271,404,198,127
288,394,197,121
273,402,208,117
278,388,207,127
289,390,189,132
273,390,203,134
273,386,206,135
286,388,189,137
297,388,178,137
299,407,178,116
278,420,174,128
279,405,173,143
274,404,179,143
270,399,196,135
272,399,213,116
278,384,205,133
281,379,205,135
287,383,204,126
287,383,216,114
297,369,216,118
304,368,214,114
319,356,202,123
315,356,201,128
305,362,203,130
302,352,214,132
301,361,221,117
315,364,205,116
311,370,197,122
301,392,186,121
301,406,184,109
289,403,181,127
276,410,182,132
270,403,193,134
275,396,188,141
270,403,193,134
278,402,186,134
289,396,185,130
289,395,183,133
288,394,180,138
289,386,175,150
266,412,181,141
245,435,185,135
238,419,197,146
240,414,207,139
249,410,199,142
246,408,211,135
249,409,214,128
259,411,212,118
262,409,203,126
256,404,194,146
264,406,192,138
251,418,200,131
259,414,200,127
273,408,194,125
288,403,185,124
278,414,190,118
276,406,187,131
274,402,200,124
278,404,202,116
271,401,200,128
273,405,193,129
283,403,184,130
285,400,180,135
267,408,201,124
280,397,207,116
284,395,205,116
291,385,189,135
287,385,191,137
274,400,197,129
287,405,180,128
282,413,185,120
292,412,177,119
272,419,173,136
270,425,175,130
264,423,193,120
278,416,179,127
280,414,180,126
281,400,190,129
278,400,196,126
277,408,192,123
281,402,195,122
281,395,189,135
264,403,197,136
273,404,187,136
276,412,186,126
269,413,201,117
261,402,207,130
264,400,204,132
282,389,189,140
271,388,189,152
270,391,218,121
274,392,212,122
265,398,223,114
283,387,201,129
279,387,207,127
273,404,194,129
258,396,209,137
269,392,198,141
269,398,192,141
277,395,189,139
264,400,198,138
274,399,196,131
277,397,188,138
259,411,190,140
262,406,191,141
269,405,185,141
273,405,197,125
270,395,202,133
264,405,208,123
271,409,199,121
276,401,193,130
270,409,177,144
262,429,179,130
252,425,210,113
261,417,205,117
276,398,197,129
281,390,197,132
282,398,186,134
283,395,191,131
284,411,186,119
275,405,194,126
267,417,189,127
259,421,197,123
256,413,188,143
255,408,198,139
257,413,202,128
261,408,207,124
283,397,193,127
273,402,191,134
258,419,188,135
255,421,195,129
264,415,200,121
276,414,194,116
276,411,191,122
281,416,176,127
275,423,175,127
263,419,178,140
275,408,174,143
267,424,178,131
253,431,180,136
255,418,191,136
257,405,197,141
264,415,184,137
266,408,179,147
262,415,190,133
256,409,206,129
259,413,190,138
253,407,201,139
254,405,193,148
257,404,206,133
267,391,195,147
273,383,203,141
276,395,197,132
282,387,201,130
279,396,203,122
277,386,204,133
275,377,213,135
280,382,219,119
286,385,208,121
282,402,192,124
281,402,193,124
292,396,190,122
282,398,186,134
288,393,185,134
284,389,200,127
275,396,201,128
278,390,200,132
281,376,196,147
270,391,204,135
273,398,201,128
273,408,198,121
266,411,187,136
275,405,173,147
259,408,199,134
263,394,202,141
251,402,201,146
261,393,198,148
256,407,194,143
249,406,209,136
253,410,204,133
259,401,198,142
262,408,196,134
271,396,192,141
267,401,194,138
274,399,204,123
274,394,193,139
270,398,208,124
262,399,206,133
275,383,209,133
274,406,197,123
260,411,202,127
256,414,209,121
265,397,207,131
262,389,212,137
264,395,218,123
255,403,212,130
268,401,196,135
257,399,208,136
246,406,210,138
253,404,196,147
249,397,197,157
236,397,210,157
236,392,225,147
249,394,220,137
264,392,215,129
261,386,218,135
268,386,213,133
260,388,216,136
275,396,201,128
290,384,186,140
296,397,192,115
312,397,178,113
310,404,171,115
310,394,176,120
303,387,183,127
304,385,186,125
295,404,184,117
298,390,172,140
304,381,176,139
308,394,178,120
306,393,172,129
299,393,186,122
295,397,178,130
291,398,188,123
294,397,189,120
297,394,196,113
286,392,199,123
279,395,208,118
284,381,206,129
288,390,193,129
287,390,206,117
274,389,207,130
266,398,209,127
257,397,208,138
253,397,219,131
255,396,228,121
280,397,213,110
290,399,193,118
282,411,193,114
275,413,185,127
286,405,175,134
276,407,190,127
277,405,205,113
276,407,215,102
284,403,202,111
286,402,198,114
289,401,193,117
285,401,199,115
281,393,202,124
283,404,196,117
287,409,194,110
288,405,187,120
291,393,188,128
275,409,187,129
266,409,185,140
260,407,196,137
252,405,202,141
247,404,208,141
250,414,200,136
245,422,211,122
251,416,218,115
252,407,222,119
260,421,219,100
272,407,201,120
277,404,195,124
283,401,185,131
293,394,184,129
272,411,183,134
271,406,189,134
269,396,186,149
263,404,193,140
276,406,185,133
272,409,179,140
261,412,191,136
275,403,172,150
268,414,174,144
255,417,181,147
251,412,190,147
252,413,194,141
232,417,200,151
239,398,217,146
248,387,218,147
256,373,215,156
267,370,204,159
260,390,212,138
268,394,209,129
284,379,210,127
310,376,186,128
305,387,188,120
292,389,198,121
287,410,187,116
289,401,193,117
299,396,182,123
294,393,182,131
297,400,186,117
297,397,175,131
286,390,190,134
286,382,197,135
283,391,203,123
276,390,209,125
274,385,206,135
278,393,190,139
273,388,191,148
261,395,213,131
280,384,204,132
287,389,203,121
287,384,197,132
294,373,198,135
289,378,189,144
289,378,185,148
270,387,202,141
266,392,203,139
265,402,214,119
258,395,221,126
259,388,218,135
265,388,201,146
263,388,211,138
272,389,207,132
270,403,209,118
286,397,204,113
288,384,210,118
285,385,199,131
276,394,200,130
294,385,182,139
283,395,182,140
271,410,181,138
254,411,205,130
274,405,197,124
268,402,211,119
281,391,201,127
277,392,200,131
277,391,201,131
280,383,209,128
284,379,207,130
297,373,196,134
304,376,199,121
298,384,199,119
302,397,184,117
310,387,188,115
301,396,186,117
296,391,177,136
294,390,179,137
286,394,181,139
291,391,172,146
286,405,173,136
301,394,181,124
296,394,169,141
286,394,173,147
287,386,177,150
279,390,193,138
275,391,195,139
273,396,203,128
271,394,213,122
277,391,199,133
272,392,210,126
278,386,211,125
285,389,191,135
285,390,193,132
289,390,200,121
295,386,199,120
310,383,187,120
297,389,187,127
292,395,189,124
288,403,184,125
294,398,181,127
283,389,190,138
288,394,187,131
284,388,187,141
283,383,200,134
274,386,207,133
276,387,203,134
289,388,188,135
288,394,192,126
283,387,199,131
283,385,206,126
278,399,206,117
275,402,191,132
274,400,185,141
271,397,194,138
270,396,188,146
272,396,187,145
278,399,188,135
260,399,208,133
272,399,200,129
268,406,199,127
262,411,208,119
280,406,199,115
289,403,177,131
283,408,170,139
276,405,175,144
280,411,166,143
277,412,176,135
280,409,174,137
261,413,196,130
265,401,206,128
277,398,201,124
283,396,189,132
269,405,180,146
265,405,184,146
261,416,191,132
259,413,194,134
263,404,191,142
265,404,192,139
264,410,192,134
258,416,198,128
262,394,209,135
257,398,219,126
280,386,215,119
275,393,200,132
271,400,198,131
256,402,215,127
264,399,216,121
266,398,214,122
277,394,208,121
283,389,202,126
265,397,214,124
277,385,204,134
272,389,199,140
275,388,191,146
268,394,188,150
268,397,202,133
266,390,208,136
265,379,209,147
263,384,205,148
247,387,221,145
260,370,224,146
258,379,218,145
263,390,209,138
259,399,209,133
253,405,195,147
259,407,194,140
256,418,189,137
261,420,189,130
268,407,184,141
263,410,196,131
258,412,195,135
259,405,201,135
263,411,199,127
265,407,201,127
255,417,200,128
256,421,207,116
271,413,205,111
269,411,201,119
273,410,194,123
272,416,187,125
266,419,183,132
272,413,195,120
262,412,200,126
248,405,211,136
247,407,204,142
251,399,214,136
259,390,216,135
235,408,220,137
238,408,232,122
257,391,223,129
264,386,221,129
273,385,214,128
276,383,204,137
264,375,203,158
269,379,196,156
273,385,204,138
283,375,206,136
278,379,199,144
270,382,205,143
273,377,211,139
272,387,214,127
268,381,204,147
266,375,216,143
269,374,213,144
267,391,217,125
281,381,213,125
285,385,208,122
292,394,198,116
300,394,181,125
287,405,183,125
283,399,181,137
280,398,190,132
280,397,191,132
282,399,192,127
284,384,193,139
262,403,189,146
259,409,193,139
252,405,193,150
250,411,193,146
260,394,197,149
266,398,199,137
266,398,203,133
271,406,196,127
264,417,202,117
285,402,197,116
280,405,189,126
276,399,183,142
271,389,192,148
250,413,209,128
259,400,207,134
257,404,213,126
266,393,203,138
271,402,193,134
257,402,211,130
279,392,208,121
293,385,191,131
295,381,196,128
294,396,192,118
296,396,194,114
309,386,178,127
314,398,167,121
